Soil_Moisture,Temperature,Humidity,pH,Light,Rain_digital,Rain_analog,crop_type,action
474,28.43,47.69,6.09,278,920,732,maize,Irrigate
439,30.49,30.39,6.67,82,917,744,rice,Irrigate
457,33.24,47.43,7.17,245,970,936,maize,Irrigate
342,27.68,50.0,7.45,44,1009,1013,rice,Irrigate
384,22.4,45.73,6.69,7,954,875,wheat,Irrigate
293,36.16,44.24,6.14,141,821,865,rice,Irrigate
344,32.48,37.06,6.57,224,1023,956,rice,Irrigate
448,32.93,47.62,6.67,145,1023,877,wheat,Irrigate
395,25.73,54.28,6.94,246,832,1023,rice,Irrigate
406,33.87,30.68,6.18,68,873,1023,wheat,Irrigate
304,31.05,31.42,7.28,107,910,879,maize,Irrigate
483,33.89,34.52,6.61,303,1016,1023,maize,Irrigate
507,33.11,52.86,6.62,343,872,879,rice,Irrigate
381,25.23,56.66,6.4,339,1023,693,maize,Irrigate
529,28.96,55.26,6.28,284,850,891,wheat,Irrigate
506,19.63,58.36,6.26,59,781,932,maize,Irrigate
464,28.03,47.64,7.17,170,931,793,wheat,Irrigate
351,29.72,45.66,7.31,247,1006,843,maize,Irrigate
415,27.33,37.15,6.68,251,943,967,rice,Irrigate
331,30.72,47.71,6.6,350,854,1001,maize,Irrigate
430,29.9,31.07,7.06,131,863,715,maize,Irrigate
313,30.03,56.04,7.21,157,821,852,maize,Irrigate
417,29.4,33.59,6.91,85,938,995,wheat,Irrigate
322,26.49,35.54,6.08,38,767,864,wheat,Irrigate
314,24.04,45.6,7.06,380,1023,750,rice,Irrigate
423,21.92,48.2,7.27,27,1003,961,wheat,Irrigate
351,19.68,43.42,6.78,269,889,879,maize,Irrigate
494,25.19,33.25,6.79,307,839,926,maize,Irrigate
438,26.49,32.14,6.8,72,812,891,wheat,Irrigate
354,22.18,56.86,7.0,117,983,717,maize,Irrigate
380,33.69,55.01,7.37,323,979,805,rice,Irrigate
390,26.39,36.78,7.69,337,915,828,rice,Irrigate
345,29.28,47.28,6.82,179,956,738,wheat,Irrigate
450,27.89,32.52,6.92,3,1023,880,wheat,Irrigate
390,27.67,40.71,6.74,77,1023,906,rice,Irrigate
429,30.98,50.31,7.04,349,912,718,rice,Irrigate
364,27.23,46.32,7.15,265,966,790,wheat,Irrigate
542,25.44,53.7,6.75,199,886,919,wheat,Irrigate
315,21.76,30.51,7.11,186,848,883,wheat,Irrigate
475,19.36,37.62,7.17,411,910,931,maize,Irrigate
398,31.72,31.2,6.16,11,937,732,wheat,Irrigate
346,33.48,45.02,6.63,287,812,800,wheat,Irrigate
357,20.28,52.58,6.66,357,793,776,maize,Irrigate
414,31.11,39.66,6.78,238,863,928,rice,Irrigate
349,25.46,34.35,6.62,157,913,940,wheat,Irrigate
482,20.66,30.23,7.08,325,1023,963,maize,Irrigate
325,28.78,57.5,6.85,339,996,902,wheat,Irrigate
473,30.55,51.59,6.3,11,1023,875,wheat,Irrigate
427,30.73,31.53,6.64,274,757,1023,maize,Irrigate
323,20.33,34.72,7.1,44,921,681,rice,Irrigate
462,24.87,45.46,7.16,22,789,821,maize,Irrigate
380,33.54,33.55,6.12,180,1020,870,wheat,Irrigate
322,26.6,30.89,6.77,132,891,966,rice,Irrigate
491,29.3,60.78,7.29,215,964,830,maize,Irrigate
472,27.89,52.12,6.78,89,1023,676,maize,Irrigate
332,25.66,58.62,6.86,186,809,678,rice,Irrigate
502,34.78,47.86,6.68,60,862,967,wheat,Irrigate
280,23.6,43.48,6.4,241,836,883,maize,Irrigate
376,25.25,56.91,6.54,298,999,824,maize,Irrigate
454,35.09,57.69,6.69,243,852,917,maize,Irrigate
364,33.27,46.76,7.16,37,941,785,wheat,Irrigate
383,23.45,43.85,7.73,156,851,903,maize,Irrigate
457,32.86,56.9,7.49,88,950,977,rice,Irrigate
428,35.31,31.89,6.98,190,828,839,rice,Irrigate
382,29.98,47.29,7.13,114,982,897,maize,Irrigate
390,22.08,36.04,6.87,111,885,791,maize,Irrigate
340,20.64,49.45,7.05,24,785,1023,rice,Irrigate
439,19.41,40.42,6.84,383,779,785,rice,Irrigate
360,22.96,50.95,7.39,370,863,1023,maize,Irrigate
407,25.86,37.54,6.85,294,951,896,rice,Irrigate
325,26.15,40.91,7.44,107,1023,875,wheat,Irrigate
390,21.64,31.47,6.99,355,997,768,wheat,Irrigate
365,30.46,51.85,6.85,196,895,807,wheat,Irrigate
480,20.81,51.35,7.81,171,931,954,wheat,Irrigate
401,22.57,56.83,6.99,139,1023,805,rice,Irrigate
334,24.17,46.56,6.98,259,847,852,wheat,Irrigate
431,32.61,42.2,7.47,62,862,740,maize,Irrigate
348,28.45,49.03,6.86,12,1023,755,maize,Irrigate
474,34.39,32.59,6.84,302,910,778,wheat,Irrigate
326,23.26,49.36,7.61,291,934,865,maize,Irrigate
357,20.28,57.47,6.2,247,805,739,wheat,Irrigate
343,32.64,52.76,7.26,410,827,867,wheat,Irrigate
451,25.98,56.53,6.33,309,738,928,wheat,Irrigate
413,24.29,43.9,6.93,254,947,884,maize,Irrigate
437,20.12,38.32,6.55,70,771,1023,maize,Irrigate
428,33.32,40.47,7.18,304,923,860,wheat,Irrigate
447,32.92,39.83,7.42,334,1021,725,wheat,Irrigate
443,27.87,32.69,7.08,17,817,760,wheat,Irrigate
342,22.36,36.78,6.9,248,990,851,wheat,Irrigate
384,26.79,53.4,6.12,148,1023,944,rice,Irrigate
360,33.35,51.46,6.95,177,905,950,wheat,Irrigate
399,31.79,56.03,6.8,304,924,900,maize,Irrigate
369,31.36,44.42,7.51,88,921,870,wheat,Irrigate
441,21.42,37.26,6.65,182,831,992,rice,Irrigate
322,28.74,44.24,7.32,352,1021,933,maize,Irrigate
408,31.75,37.19,6.78,325,1023,693,rice,Irrigate
340,30.17,50.48,6.77,22,789,818,wheat,Irrigate
455,26.47,36.58,7.61,253,849,901,maize,Irrigate
471,32.09,55.07,7.25,48,937,737,wheat,Irrigate
466,32.27,47.67,7.35,139,837,842,maize,Irrigate
381,21.59,30.33,7.07,204,898,949,maize,Irrigate
317,26.19,42.05,6.49,371,1008,1018,maize,Irrigate
379,26.37,48.83,6.48,239,913,784,rice,Irrigate
337,29.07,54.04,6.77,290,949,891,wheat,Irrigate
403,23.29,49.68,7.09,380,885,961,rice,Irrigate
360,21.07,49.69,6.73,50,954,941,rice,Irrigate
449,21.37,31.22,7.47,302,949,950,wheat,Irrigate
301,20.87,41.32,7.41,275,890,803,wheat,Irrigate
437,34.95,42.2,6.86,330,779,781,wheat,Irrigate
445,25.67,42.63,6.98,206,858,817,maize,Irrigate
444,30.56,52.71,6.4,74,860,883,rice,Irrigate
448,23.11,48.72,6.57,206,883,872,rice,Irrigate
478,26.86,45.73,6.45,327,869,848,rice,Irrigate
500,34.35,47.89,6.72,341,745,699,rice,Irrigate
354,32.22,47.94,7.42,257,1023,856,rice,Irrigate
453,20.33,43.41,6.02,358,862,1023,maize,Irrigate
325,21.14,29.14,6.25,382,940,813,wheat,Irrigate
398,22.11,57.31,7.43,153,940,978,maize,Irrigate
494,29.05,39.03,6.69,140,810,917,maize,Irrigate
293,30.2,54.73,7.64,243,1010,1012,maize,Irrigate
453,28.96,50.19,7.07,268,913,762,wheat,Irrigate
473,29.75,48.52,6.69,87,913,775,wheat,Irrigate
499,22.98,36.5,7.09,103,1023,869,rice,Irrigate
337,33.9,52.53,6.28,309,994,1023,maize,Irrigate
305,24.97,38.62,6.84,392,1021,1023,rice,Irrigate
328,27.06,44.89,7.5,264,956,697,wheat,Irrigate
467,21.02,34.77,6.73,109,1008,977,wheat,Irrigate
407,23.02,32.03,6.57,286,863,991,wheat,Irrigate
365,26.75,54.77,6.28,262,1006,907,wheat,Irrigate
478,30.18,37.54,6.71,313,889,780,maize,Irrigate
326,34.06,57.55,7.19,210,963,1023,rice,Irrigate
401,23.21,41.12,7.27,196,790,943,wheat,Irrigate
458,28.84,35.07,7.65,25,845,827,rice,Irrigate
313,21.53,57.68,7.5,174,1023,774,wheat,Irrigate
475,22.32,41.56,7.32,388,881,846,rice,Irrigate
441,28.49,44.02,6.52,408,980,779,rice,Irrigate
477,29.29,42.65,6.9,165,1023,850,wheat,Irrigate
374,32.11,51.75,7.16,293,901,1023,wheat,Irrigate
388,30.4,31.03,7.01,200,975,877,rice,Irrigate
448,31.97,52.66,6.08,104,978,765,maize,Irrigate
458,22.86,43.22,6.97,335,856,974,wheat,Irrigate
355,34.27,40.2,6.24,57,914,962,wheat,Irrigate
491,21.39,40.13,6.75,111,946,730,maize,Irrigate
323,29.21,37.03,6.3,324,874,814,maize,Irrigate
395,27.44,51.32,7.31,42,911,927,wheat,Irrigate
426,28.68,44.75,6.96,156,974,872,wheat,Irrigate
381,33.92,44.79,7.09,237,1023,878,wheat,Irrigate
372,31.8,39.43,7.42,262,837,920,wheat,Irrigate
311,21.8,60.58,6.61,75,936,863,rice,Irrigate
385,33.81,31.43,6.53,338,988,792,rice,Irrigate
498,23.94,36.52,6.3,47,924,933,rice,Irrigate
349,30.67,41.95,6.68,245,872,931,wheat,Irrigate
477,31.17,53.9,6.39,402,765,666,rice,Irrigate
384,20.88,43.51,6.58,186,1019,935,wheat,Irrigate
316,24.5,39.58,6.83,257,1017,786,wheat,Irrigate
479,22.54,32.99,6.8,120,853,876,rice,Irrigate
320,20.9,61.34,6.41,137,951,891,wheat,Irrigate
500,24.92,42.52,6.48,251,823,860,rice,Irrigate
386,33.13,30.43,7.63,319,799,817,rice,Irrigate
479,35.09,34.31,6.35,269,960,832,rice,Irrigate
444,32.89,40.14,7.31,339,880,970,rice,Irrigate
414,33.87,41.07,6.92,208,807,949,rice,Irrigate
322,34.01,31.66,7.61,143,936,883,maize,Irrigate
431,22.9,52.03,6.63,194,973,839,maize,Irrigate
501,29.46,47.22,6.69,218,1023,809,maize,Irrigate
367,34.12,48.64,6.41,185,885,794,maize,Irrigate
316,32.13,45.73,6.96,87,901,907,maize,Irrigate
453,20.93,31.94,7.62,195,962,736,rice,Irrigate
516,21.76,49.7,6.81,114,847,813,wheat,Irrigate
335,26.83,52.7,6.68,205,896,1023,wheat,Irrigate
500,22.92,48.19,7.35,316,952,990,rice,Irrigate
439,32.86,33.66,7.4,338,1023,934,wheat,Irrigate
420,30.26,41.68,6.9,68,862,772,wheat,Irrigate
335,33.84,43.79,6.21,263,809,790,maize,Irrigate
507,20.88,49.14,7.32,227,960,1023,maize,Irrigate
395,22.18,54.41,6.3,237,998,952,maize,Irrigate
338,22.63,37.24,6.45,225,857,984,wheat,Irrigate
277,29.15,46.3,6.83,40,889,793,maize,Irrigate
272,24.61,59.73,6.68,422,898,740,rice,Irrigate
315,33.75,31.0,7.12,305,766,806,wheat,Irrigate
437,22.7,43.29,5.99,355,880,761,wheat,Irrigate
456,20.47,37.69,7.1,151,974,971,maize,Irrigate
457,23.14,47.75,6.24,122,906,942,rice,Irrigate
426,23.02,45.43,6.57,40,859,649,maize,Irrigate
463,33.38,47.75,7.12,280,1023,838,maize,Irrigate
452,25.51,57.16,6.74,24,840,873,wheat,Irrigate
377,27.4,50.08,7.11,64,826,898,wheat,Irrigate
351,19.88,47.46,6.37,316,1002,828,maize,Irrigate
293,33.43,36.13,6.87,49,985,973,wheat,Irrigate
414,21.12,35.09,7.46,107,831,854,wheat,Irrigate
526,36.63,29.45,7.05,220,881,964,wheat,Irrigate
431,32.61,41.82,6.36,310,819,1023,maize,Irrigate
361,30.24,46.16,7.53,81,871,759,wheat,Irrigate
363,20.98,43.43,6.55,33,956,781,maize,Irrigate
430,22.74,37.97,7.25,149,1020,893,wheat,Irrigate
422,25.15,35.25,6.16,382,918,765,rice,Irrigate
302,28.78,35.72,6.43,231,893,722,wheat,Irrigate
332,27.51,45.57,6.8,264,859,648,maize,Irrigate
430,19.49,58.57,6.39,156,902,791,wheat,Irrigate
351,33.55,32.17,6.45,184,1023,935,maize,Irrigate
416,30.58,38.99,6.41,80,974,948,maize,Irrigate
284,32.17,59.2,7.13,379,823,720,wheat,Irrigate
364,34.5,37.5,7.57,148,736,757,maize,Irrigate
336,27.51,32.2,6.73,365,951,929,wheat,Irrigate
376,25.06,56.45,6.46,369,1023,971,rice,Irrigate
488,25.95,34.37,7.27,393,1023,952,maize,Irrigate
509,22.07,53.03,7.01,271,782,867,maize,Irrigate
291,31.33,37.16,7.44,184,821,860,maize,Irrigate
362,22.28,43.76,6.21,205,957,732,maize,Irrigate
452,31.07,34.24,7.58,124,972,781,rice,Irrigate
394,22.95,30.21,6.7,156,1023,941,rice,Irrigate
410,32.64,51.04,6.58,0,935,753,wheat,Irrigate
338,21.52,37.86,7.31,58,980,750,maize,Irrigate
463,20.27,52.16,6.99,346,852,1015,maize,Irrigate
348,30.1,41.69,5.9,318,797,835,rice,Irrigate
462,23.63,44.58,6.28,304,827,830,wheat,Irrigate
428,29.97,58.77,6.29,216,825,1023,rice,Irrigate
495,20.56,56.41,6.74,15,832,806,rice,Irrigate
437,22.21,39.26,6.36,289,995,958,wheat,Irrigate
322,25.94,47.6,6.21,62,1023,883,maize,Irrigate
357,22.7,42.27,7.42,314,978,773,maize,Irrigate
473,23.13,60.0,7.44,2,930,748,rice,Irrigate
425,29.4,54.78,6.99,211,900,813,rice,Irrigate
328,22.86,42.75,7.18,117,940,1023,rice,Irrigate
326,28.36,38.52,6.63,325,1023,793,wheat,Irrigate
312,21.94,56.5,6.71,211,848,864,wheat,Irrigate
340,24.43,51.51,6.62,318,993,808,rice,Irrigate
457,24.63,58.44,6.65,188,985,1023,maize,Irrigate
523,31.74,55.43,6.7,294,913,881,maize,Irrigate
441,29.48,33.91,7.09,274,958,772,wheat,Irrigate
308,26.88,44.99,7.38,42,874,875,wheat,Irrigate
413,24.67,49.86,7.44,405,913,753,maize,Irrigate
366,30.07,31.49,7.14,280,830,669,wheat,Irrigate
375,21.83,54.84,7.02,9,901,894,maize,Irrigate
404,25.38,48.81,7.34,361,759,854,rice,Irrigate
462,33.15,54.8,6.57,330,838,754,wheat,Irrigate
405,28.91,49.81,7.2,312,844,690,rice,Irrigate
337,32.47,51.39,7.41,250,910,834,wheat,Irrigate
342,35.41,30.41,7.0,228,834,739,wheat,Irrigate
483,32.09,41.79,7.36,274,749,703,rice,Irrigate
404,25.54,49.2,6.88,292,1023,924,rice,Irrigate
423,30.63,58.61,6.57,355,936,898,wheat,Irrigate
386,26.18,51.0,6.6,298,857,943,rice,Irrigate
330,32.38,47.26,6.58,77,1009,819,maize,Irrigate
295,20.98,51.19,7.11,288,935,727,maize,Irrigate
428,30.74,40.76,6.76,336,947,755,rice,Irrigate
473,21.98,55.84,6.61,270,933,736,maize,Irrigate
326,27.19,49.9,6.91,106,951,893,maize,Irrigate
371,28.13,57.06,7.33,163,1008,866,maize,Irrigate
313,36.2,40.15,7.12,8,841,1023,wheat,Irrigate
459,24.03,37.27,7.74,123,881,965,maize,Irrigate
370,30.22,48.1,6.95,58,1023,864,maize,Irrigate
339,27.46,56.65,7.47,82,901,778,rice,Irrigate
450,21.15,44.42,7.06,350,807,879,maize,Irrigate
411,28.87,46.08,6.16,346,1023,907,wheat,Irrigate
310,23.93,32.27,6.64,8,817,747,wheat,Irrigate
333,20.87,33.92,6.92,318,952,876,rice,Irrigate
430,24.78,47.38,7.39,69,941,1002,wheat,Irrigate
426,27.95,39.3,7.4,18,900,814,wheat,Irrigate
463,21.88,58.39,6.48,389,1023,823,maize,Irrigate
485,29.72,59.63,7.58,270,981,963,maize,Irrigate
341,20.87,31.81,6.49,157,1023,914,wheat,Irrigate
311,33.7,54.43,6.4,129,850,1023,rice,Irrigate
374,22.84,52.23,6.81,383,920,737,rice,Irrigate
362,33.29,48.53,6.87,332,972,739,maize,Irrigate
427,32.65,56.75,6.59,187,1023,866,wheat,Irrigate
458,24.79,45.36,6.81,173,757,904,maize,Irrigate
433,20.75,44.39,7.34,193,957,686,rice,Irrigate
359,26.54,35.55,6.47,334,757,814,wheat,Irrigate
336,32.53,54.84,6.7,296,944,782,maize,Irrigate
288,29.33,40.83,6.24,238,939,934,maize,Irrigate
445,31.0,50.57,7.41,291,867,792,rice,Irrigate
420,23.88,46.11,7.35,176,877,815,maize,Irrigate
519,21.22,41.68,7.11,40,994,686,rice,Irrigate
391,33.57,45.36,7.3,276,875,893,rice,Irrigate
421,30.45,54.75,6.26,334,889,798,wheat,Irrigate
425,29.05,33.69,6.42,135,839,688,wheat,Irrigate
461,34.33,56.61,6.74,34,758,689,maize,Irrigate
402,34.77,31.18,7.46,353,938,840,rice,Irrigate
425,33.32,53.33,6.64,66,877,926,rice,Irrigate
461,35.3,47.87,6.91,320,860,843,wheat,Irrigate
348,28.34,58.2,6.97,89,924,936,wheat,Irrigate
408,29.0,30.89,6.85,276,871,938,rice,Irrigate
348,23.01,43.38,7.3,224,909,764,wheat,Irrigate
402,25.83,37.25,7.02,302,1023,985,maize,Irrigate
434,21.41,46.66,6.78,132,789,739,rice,Irrigate
364,34.53,37.7,6.36,233,878,815,wheat,Irrigate
475,26.58,31.64,7.45,22,882,714,maize,Irrigate
371,26.06,43.92,7.3,110,773,904,rice,Irrigate
427,22.46,56.52,7.0,157,843,729,maize,Irrigate
385,30.61,33.34,6.16,98,883,832,maize,Irrigate
393,30.27,47.11,6.5,299,832,706,rice,Irrigate
472,35.8,59.26,7.09,0,769,923,maize,Irrigate
435,26.13,55.33,7.19,350,901,845,wheat,Irrigate
389,25.39,49.27,6.14,154,1023,738,wheat,Irrigate
338,19.27,55.63,6.38,410,973,721,wheat,Irrigate
316,23.49,32.67,6.5,130,1023,955,maize,Irrigate
483,33.24,37.46,6.17,295,886,779,wheat,Irrigate
340,21.56,41.39,7.28,67,975,812,maize,Irrigate
507,23.2,57.02,6.3,92,925,801,wheat,Irrigate
370,35.05,58.02,7.42,256,878,851,rice,Irrigate
484,26.57,50.05,6.6,98,970,702,maize,Irrigate
292,32.36,31.5,6.91,347,756,901,maize,Irrigate
429,31.2,45.34,7.02,77,1023,997,wheat,Irrigate
317,34.41,42.47,6.18,86,1020,950,rice,Irrigate
338,21.02,43.39,6.03,334,925,929,wheat,Irrigate
